"","ID","sex","race","class","major","math.level","modality","Anxiety.avg","Anxiety.pca1","Anxiety.wt.pca","Anxiety.cfa","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","Engage.avg","Engage.pca1","Engage.wt.pca","Engage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa","Teacher.ctrd.pca1","Teacher.ctrd.wt.pca","Teacher.ctrd.cfa","Student.ctrd.pca1","Student.ctrd.wt.pca","Student.ctrd.cfa"
"1",1,"female","Asian","yr3","Health","stats","Visual",3.55555555555556,2.44016500258568,1.34721132561122,0.460363549257634,4.75,2.15323726783049,1.60702957017471,1.13730221736576,2.6,1.30543147513798,0.755241208634182,0.337078187353633,3,-1.83592628354742,-1.05902928578787,-0.603140904066238,2.4,-2.26152952785537,-1.58045027487444,-0.637732989655471,4,1.99701020501461,1.36538027453307,0.910497598873393,3.28571428571429,0.112714441883361,0.124812595553609,0.0589407754133728,4,0.85455939309498,0.67046085930674,0.235887383386735,4,1.3218120611799,0.746018101644945,0.447472033616993,4,2.4821263630219,1.20397033788287,0.934361490056203,3.71428571428571,0.656560884502051,0.410936542203772,0.240969294619659,4.14285714285714,1.81287779384094,1.18803998422194,0.633044142464404,2,-0.828493649847685,-0.588696153335333,-0.347877376079046,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,0.672350179696097,0.670781772096566,0.699822142011209,2.0474082088864,2.04170799306607,1.54001296107941
"2",2,"female","white","yr2","Health","stats","Auditory",3.77777777777778,3.03582252249253,1.21517674280245,0.398570025903609,3.75,0.492586804945686,0.394215617001867,0.246686647185835,3.8,3.72821199096163,2.20488936556618,0.933212449241066,2.66666666666667,-0.486442197400139,0.0863284483259486,0.548703239584149,3.1,-0.571999552730451,-0.19975563230391,-0.401783660941332,4.33333333333333,2.68495817435579,1.7955409146526,1.22396682400733,4.57142857142857,2.913816182557,1.84963214797633,1.06974344434895,4.85714285714286,2.97124402932645,1.68021206346467,0.974252193054874,4.71428571428571,3.07278530824181,1.87227018416262,1.04816382658954,4.85714285714286,4.22391265876123,2.23050691129918,1.44301567787475,4.14285714285714,1.89464096998902,1.04871147539397,0.824128907710086,4.71428571428571,3.11335639374787,1.79695519629696,1.16107440423815,3.33333333333333,1.81539735409287,1.55416696026178,0.740506372028995,2.25,1.01292371981581,0.216594545180778,0.171034069342424,2.59036864418526,2.58468791804802,2.61906059384368,3.32147993918723,3.31200684871333,2.59081497092947
"3",3,"female","white","yr2","STEM","other","Visual",2.33333333333333,-0.848003499004829,-0.142786807467779,-0.126339294251618,3.75,0.440046904857223,0.393198966137225,-0.0489252335751472,1.2,-1.57973279893464,-0.986448298160676,-0.398027766276697,4.33333333333333,1.1989979742918,0.36712217907421,1.37602084480417,3.6,1.12966328377168,0.74218159090648,0.373010978677103,3.33333333333333,0.802397040168729,0.46451785273104,0.364881123593267,4.14285714285714,2.17706352389349,1.17647723884372,0.890726675539617,4.28571428571429,1.59452509861971,1.08265858221658,0.524028637365198,4.57142857142857,2.7507854372038,1.64959271526373,0.967990807865244,3.71428571428571,1.96777506445956,0.835330223661035,0.86645217601011,4.28571428571429,2.11926226167695,1.21756480920205,0.865939893810377,4.42857142857143,2.45669907517727,1.44772697372098,0.996007146452639,2,-0.828493649847685,-0.588696153335333,-0.347877376079046,2,0.435626599509486,0.0809430959852684,0.0648803619441237,2.06690954714709,2.06240561374797,2.05934641926565,1.98493927283708,1.97901494175896,1.57547663833694
"4",4,"female","other","yr1","Other","math02","Visual",1.77777777777778,-2.16250144504863,-1.03708169362872,-0.311572545911742,2.75,-1.11246815578329,-0.855798443462252,-0.43111737844358,1,-1.95504008926597,-1.07400307772127,-0.507646282781735,2.66666666666667,-0.486442197400139,0.0863284483259486,0.548703239584149,2.8,-1.1703877631568,-0.667802685366662,-0.344532570037482,1.66666666666667,-2.45517296809486,-1.56862359394602,-1.11498748756924,2.57142857142857,-1.4483288592446,-1.13317435003889,-0.471550202632695,2.42857142857143,-2.80874873003297,-1.56593773567315,-0.918733733657204,2.71428571428571,-1.80896760536513,-1.42816248296795,-0.609921713236472,1.57142857142857,-2.93859254801943,-1.48569861597373,-1.08617860326927,3.14285714285714,-0.426270715058748,-0.315994339351012,-0.0640898220027573,2.14285714285714,-2.59940677545085,-1.5405823872411,-1.02658764889638,3,1.16236280096133,0.904765309221273,0.484914362272223,1.5,-0.620949053837429,-0.513489873620813,-0.191026452773297,-1.55409939662576,-1.55054924261001,-1.61604378810139,-2.50350745555644,-2.49650582398914,-1.93784440300851
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",1.88888888888889,-1.94448452910562,-0.741055509397033,-0.332225503175129,3,-0.80699315258619,-0.367535361464216,-0.609736028307209,1,-1.95504008926597,-1.07400307772127,-0.507646282781735,4,1.61781182123273,1.03838341420651,3.08281108745527,3.4,0.559205896557333,0.310159569059855,0.20717511139769,2,-1.86806490976184,-1.00157283102948,-0.870680544288562,3.85714285714286,1.3092614137009,1.17254145516877,0.505028236369241,5,3.30754286265972,1.91470184534554,1.09004049390938,5,3.74076446197302,2.29211987991794,1.25912425555663,4.57142857142857,3.73190049831789,1.84175284473304,1.39236052695185,4.57142857142857,2.82231739075199,1.7136235914298,1.1704011378042,5,3.73922397476099,2.23757349792168,1.38341734661819,4,3.15321925177034,2.39822677177788,1.31770610062349,2.5,1.4828264695056,0.146192545095356,0.141409558242155,2.61489216125001,2.60902739029711,2.73067665607225,1.74749909808961,1.74178647865623,0.874766210597286
"6",6,"female","white","yr1","Other","math02","Auditory",2.55555555555556,-0.196711707621208,-0.0724430451249242,-0.00465552560966353,3.75,0.508407636399812,0.296146237231483,0.215263965793093,1.6,-0.678993800639313,-0.191270385033384,-0.185628436498862,3.66666666666667,0.156342373237228,0.181213681214541,2.039142456615,2.7,-1.46295198322934,-1.38756120661605,-0.507862662051729,2.5,-0.9006877556349,-0.454945720638472,-0.417894607188439,2.85714285714286,-1.0411766917974,-0.435589067434093,-0.443517330833933,3.42857142857143,-0.455369842313032,-0.275328570940808,-0.167619623933009,3.57142857142857,0.272025587548818,-0.0691215494586801,0.0794620573411592,2.57142857142857,-0.790685998458557,-0.288127337707102,-0.357470687363734,3.28571428571429,-0.236862067420421,-0.180853254275383,-0.142234587690941,3.28571428571429,-0.0796629833249468,0.163835487282072,0.0554150011240212,3,1.16236280096133,0.904765309221273,0.484914362272223,2,0.430938707834087,-0.183648664262728,-0.0248084472655711,-0.5141022920652,-0.513067171361507,-0.492668423164606,-0.623841192666301,-0.622248454552264,-0.386358376164893
"7",7,"female","white","yr1","Health","stats","Auditory",2.66666666666667,0.0657101339104322,0.104414897075304,0.0358768563386394,3.75,0.508407636399812,0.296146237231483,0.215263965793093,1.8,-0.389532382245999,-0.332044010636608,-0.10419640331284,3.33333333333333,-1.31459848302014,-0.966075036858033,-0.934701709971655,2.6,-1.79007082161865,-1.10909945517196,-0.531411940406246,2,-1.85293923383634,-1.1104155588345,-0.847836116625112,2.28571428571429,-2.2131128155071,-1.10061096558968,-0.841735768548841,2.42857142857143,-2.79106459842121,-1.74393177925908,-0.894961184023734,2,-3.64037627682503,-2.14636357140041,-1.23029056063916,2.71428571428571,-0.372466643796928,-0.0849293168551813,-0.118961161515819,2,-3.28466156049856,-2.00862309615051,-1.25900750831726,1,-5.1271519918834,-2.88868549402543,-1.81280375901646,2,-0.833788761567518,-0.794231604313958,-0.346967219770319,2.5,1.59490873179753,0.616837754624285,0.36687658595042,-2.95326676429005,-2.94667449457717,-3.00634915997544,-1.86838501595956,-1.86276846212253,-2.11906125143014
"8",8,"male","white","yr3","Business","math03","Visual",3.88888888888889,3.33771807651391,1.40902519926722,0.555653415517557,4.25,1.40556579835112,0.824608863990121,0.966161118356533,3.6,3.28862615493565,1.72559463716331,0.858618119287285,2.66666666666667,-1.42658384486835,-0.677887035736181,-0.826526197161533,3,-0.69681226820327,-0.321755440101255,-0.258469977225271,1.83333333333333,-2.19390761661543,-1.27010870201501,-1.00924857907882,3,-0.4164948995379,-0.511568291246798,-0.0789901628256656,3.71428571428571,0.190180314570783,0.315745815353283,0.0482464887579302,3.42857142857143,-0.141999597654775,-0.126178495322997,-0.0299127523915024,2.85714285714286,-0.269064037222338,-0.0944274013027318,-0.191404880576601,3.14285714285714,-0.514606309690321,-0.233429120412477,-0.239905816898446,2.85714285714286,-1.01767795170302,-0.657148261113873,-0.495894922654696,2,-0.828493649847685,-0.588696153335333,-0.347877376079046,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,-0.402560328776985,-0.401631002024546,-0.391894614388196,-1.03624678106131,-1.03359516944194,-1.00717369567768
"9",9,"female","white","yr2","Other","other","Visual",1.55555555555556,-2.87681675191185,-1.52217616363543,-0.670418513256496,1.75,-2.93537054052678,-1.75480169559468,-1.95286665699545,1.4,-1.12988487374151,-0.384536930718989,-0.340726283797458,3.33333333333333,1.49635505112265,1.03645243024775,1.260811064519,2.6,-1.82286280289794,-1.22957689186018,-0.624193060733206,2.16666666666667,-1.54352179985906,-0.844646696052485,-0.711590396724297,3.42857142857143,0.356036308027253,0.339377386602671,0.105248257285705,4.28571428571429,1.66500391615892,0.914850677580828,0.624778215434502,3.57142857142857,0.256061660299217,0.257014089850292,0.10435182784083,3.28571428571429,1.0172438395527,0.438089162539066,0.483790198702563,4,1.43499287130789,0.893361667748537,0.605457068424944,3.42857142857143,0.253192235530596,0.149887320450648,0.107096311422106,2,-0.828493649847685,-0.588696153335333,-0.347877376079046,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,1.01604058705328,1.01381100601905,1.10584725717594,-0.0132032216146426,-0.0133925728933792,-0.427332446938876
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",1.33333333333333,-3.40584494374495,-1.77129892037797,-0.667779777900109,1.75,-2.83842374814331,-2.00977642588527,-1.66872248420222,1,-1.95504008926597,-1.07400307772127,-0.507646282781735,3,0.975027250595364,0.943498181317913,1.59237187042441,5,5.13824693225348,3.23210573376393,1.54611634547636,2.5,-0.838464417077192,-0.606598231108002,-0.379704412826071,4.28571428571429,2.49809415830191,1.40872077354272,1.00837494799989,4.28571428571429,1.57425322276964,0.909497906843416,0.513041802543343,2.85714285714286,-1.5969049507284,-0.952005462793357,-0.559033257885779,3,0.291810424017476,-0.0289921556993579,0.186650954682208,3.85714285714286,1.01103599312745,0.58924939773954,0.405213416093211,2.42857142857143,-1.95183520035364,-1.18045061124535,-0.739724229929664,1.33333333333333,-2.12926764439093,-1.68196400443773,-0.859971551901316,1.75,-0.0133319886570048,0.302290573324444,0.0724738404854946,1.05025503428221,1.04825911669257,1.02644844528916,-0.607441645069329,-0.60555984363384,-0.899718370219471
