"","ID","sex","race","class","major","math.level","modality","ID","AMAS.1","AMAS.2","AMAS.3","AMAS.4","AMAS.5","AMAS.6","AMAS.7","AMAS.8","AMAS.9","MEA.2","MEA.4","MEA.5","MEA.8","MLA.1","MLA.3","MLA.6","MLA.7","MLA.9","Efficacy.1","Efficacy.2","Efficacy.3","Cooperative.1","Cooperative.2","Cooperative.3","Cooperative.4","Cooperative.5","Cooperative.6","Lecture.1","Lecture.2","Lecture.3","Lecture.4","Lecture.5","Lecture.6","Lecture.7","Deductive.1","Deductive.2","Deductive.3","Deductive.4","Deductive.5","Deductive.6","Deductive.7","Inductive.1","Inductive.2","Inductive.3","Inductive.4","Inductive.5","Inductive.6","Inductive.7","Demons.1","Demons.2","Demons.3","Demons.4","Demons.5","Demons.6","Demons.7","Repet.1","Repet.2","Repet.3","Repet.4","Repet.5","Repet.6","Repet.7","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Tach.1","Tach.2","Tach.3","Tach.4","Tach.5","Tach.6","Tach.8","Tach.9","Tach.10","Tach.11","Tach.12","SocialEngage.1","SocialEngage.2","SocialEngage.3","SocialEngage.8","BehaveEngage.4","BehaveEngage.5","BehaveEngage.6","BehaveEngage.7","Resource.9","Resource.10","Resource.11","Resource.12","Modality.1","Modality.2","Modality.3","Modality.4","Modality.5","Modality.6","Modality.7","Modality.8","Modality.9","Modality.10","Modality.11","Modality.12"
"1",1,"female","Asian","yr3","Health","stats","Visual",1,2,4,2,5,5,3,3,5,3,4,5,5,5,2,2,3,3,3,2,5,2,4,4,3,5,3,5,3,4,3,4,5,3,4,2,3,4,5,3,2,4,5,3,3,5,5,3,4,5,5,4,4,4,3,3,5,5,4,4,3,4,4,3,4,3,4,4,5,5,2,2,2,2,1,3,4,3,3,3,1,2,2,2,3,3,3,2,3,1,1,1,1,2,1,2,1,3,2,2,1,2,3,3,3
"2",2,"female","white","yr2","Health","stats","Auditory",2,4,4,3,1,4,4,3,4,5,4,1,4,4,4,3,4,3,5,3,3,2,4,5,4,5,4,4,4,4,5,4,5,5,2,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,3,3,3,3,4,4,4,3,2,2,3,4,3,3,4,3,3,4,4,3,3,2,1,1,1,2,2,1,1,3,1,2,2,3,1
"3",3,"female","white","yr2","STEM","other","Visual",3,1,3,1,3,4,2,1,5,1,3,3,4,5,1,1,2,1,1,4,4,5,3,4,4,2,4,3,5,4,4,5,5,4,3,5,4,5,5,4,3,3,4,5,5,4,5,4,5,5,4,4,3,5,4,5,5,5,5,4,5,2,5,1,4,3,4,5,4,5,3,4,4,4,3,3,3,4,4,4,3,2,2,2,2,4,4,3,4,3,2,2,1,3,2,2,2,2,1,3,1,2,1,3,3
"4",4,"female","other","yr1","Other","math02","Visual",4,1,3,1,3,2,1,1,3,1,3,3,2,3,1,1,1,1,1,3,3,2,2,3,1,1,1,2,3,4,3,3,4,4,1,4,4,3,2,2,1,2,2,3,3,4,4,1,2,3,4,2,1,2,2,3,2,3,3,2,1,3,1,1,2,2,1,2,1,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,3,2,1,1,3,2,3,2,2,3,2,2
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",5,1,3,1,2,4,1,1,3,1,3,2,4,3,1,1,1,1,1,5,3,4,1,1,3,1,5,1,4,5,5,5,5,5,3,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,3,2,3,3,3,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,3,2,1,1,3,2,1,3,2,3,3,3
"6",6,"female","white","yr1","Other","math02","Auditory",6,1,3,2,4,3,1,3,5,1,3,4,3,5,1,2,1,3,1,4,4,3,2,2,3,3,3,2,5,2,5,2,3,4,2,4,2,3,2,3,4,2,4,3,4,5,4,2,3,4,4,4,3,2,3,4,3,4,3,2,4,4,3,4,3,3,2,3,1,2,2,4,1,2,1,2,5,5,2,2,3,3,3,3,3,4,4,2,3,3,3,1,1,1,2,1,3,3,1,1,1,3,1,2,3
"7",7,"female","white","yr1","Health","stats","Auditory",7,2,3,1,4,3,3,1,5,2,3,4,3,5,2,1,3,1,2,2,5,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,3,3,3,2,2,2,2,1,2,3,2,2,2,3,3,1,2,3,3,1,1,1,1,1,1,1,4,3,2,3,3,2,2,3,2,3,3,2,2,3,3,3,3,2,1,2,3,3,4,4,3,3,3,3,3,1,1,1,1,3,1,1,2,3,2,3,3,2
"8",8,"male","white","yr3","Business","math03","Visual",8,3,4,3,5,3,5,3,5,4,4,5,3,5,3,3,5,3,4,2,4,2,1,2,1,1,3,3,5,4,4,1,4,3,1,5,3,4,2,3,1,3,3,3,4,4,3,3,4,5,4,3,3,4,3,4,4,2,4,2,3,4,1,1,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,4,3,3,3,1,1,1,1,2,1,2,2,1,2,2,3,2,3,3,3
"9",9,"female","white","yr2","Other","other","Visual",9,2,1,1,1,3,1,2,2,1,1,1,3,2,2,1,1,2,1,4,2,4,2,2,2,2,3,2,4,4,4,4,4,5,3,4,3,3,4,4,4,2,4,4,4,3,3,3,4,4,5,2,4,5,5,5,4,3,4,3,4,3,3,3,4,2,4,4,2,4,2,3,2,2,2,3,4,3,3,2,2,2,2,2,2,2,3,1,2,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,3
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",10,1,1,1,2,1,1,1,3,1,1,2,1,3,1,1,1,1,1,4,2,3,2,3,3,2,2,3,4,3,3,3,5,5,4,4,5,5,5,5,3,3,3,2,2,4,3,3,3,4,4,5,4,5,4,4,3,2,3,3,2,2,2,2,3,3,3,4,2,4,1,5,5,5,5,5,5,5,5,5,5,1,2,1,1,2,2,3,2,2,1,2,2,3,2,1,3,1,2,1,3,2,3,3,3
