,Progress,Duration..in.seconds.,IC.response.,Sex,Gender,Class,Major,Ethnicity,Course2,AMAS.1,AMAS.2,AMAS.3,AMAS.4,AMAS.5,AMAS.6,AMAS.7,AMAS.8,AMAS.9,MSES.1,MSES.2,MSES.3,S.CA.1,S.CA.2,S.CA.3,S.CA.4,S.CA.5,S.CA.6,S.LT.1,S.LT.2,S.LT.3,S.LT.4,S.LT.5,S.LT.6,S.LT.7,S.DA.1,S.DA.2,S.DA.3,S.DA.4,S.DA.5,S.DA.6,S.DA.7,S.IA.1,S.IA.2,S.IA.3,S.IA.4,S.IA.5,S.IA.6,S.IA.7,S.D.1,S.D.2,S.D.3,S.D.4,S.D.5,S.D.6,S.D.7,S.RE.1,S.RE.2,S.RE.3,S.RE.4,S.RE.5,S.RE.6,S.RE.7,S.IA.1.1,S.IA.2.1,S.IA.3.1,S.IA.4.1,S.IA.5.1,S.IA.6.1,S.IA.7.1,T.1,T.2,T.3,T.4,T.5,T.6,T.7,T.8,T.9,T.10,T.11,T.12,MS.1,MS.2,MS.3,MS.4,MS.5,MS.6,MS.7,MS.8,MS.9,MS.10,MS.11,MS.12,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10,CR.11,CR.12,Semester
1,100,364,1,1,2,3,3,4,10,2,4,2,5,5,3,3,5,3,2,5,2,4,4,3,5,3,5,3,4,3,4,5,3,4,2,3,4,5,3,2,4,5,3,3,5,5,3,4,5,5,4,4,4,3,3,5,5,4,4,3,4,4,3,4,3,4,4,5,5,4,4,4,4,1,3,2,2,3,3,3,5,2,1,2,1,3,2,2,1,2,3,3,3,3,3,3,2,2,3,2,2,4,4,4,4,1
2,100,213,1,1,2,2,3,1,10,4,4,3,NA,4,4,3,4,5,3,3,2,4,5,4,5,4,4,4,4,5,4,5,5,2,4,5,5,4,5,5,4,5,5,4,5,5,4,NA,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,3,3,3,3,4,2,4,2,NA,4,4,3,1,1,2,2,1,1,3,1,2,2,3,1,1,2,2,2,2,1,1,1,2,2,3,4,1
3,100,504,1,1,2,2,1,1,43,1,3,1,3,4,2,1,5,1,4,4,5,3,4,4,2,4,3,5,4,4,5,5,4,3,5,4,5,5,4,3,3,4,5,5,4,5,4,5,5,4,4,3,5,4,5,5,5,5,4,5,2,5,1,4,3,4,5,4,5,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2,2,2,1,3,1,2,1,3,3,3,3,3,1,1,2,1,3,2,3,3,4,1
4,100,690,1,1,2,1,4,6,5,1,3,1,3,2,1,1,3,1,3,3,2,2,3,1,1,1,2,3,4,3,3,4,4,1,4,4,3,2,2,1,2,2,3,3,4,4,1,2,3,4,2,1,2,2,3,2,3,3,2,1,3,1,1,2,2,1,2,1,2,3,4,3,3,2,3,3,3,3,3,3,3,3,2,1,1,3,2,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,4,4,1
5,100,440,1,1,2,1,1,6,17,1,3,1,2,4,1,1,3,1,5,3,4,1,1,3,1,5,1,4,5,5,5,5,5,3,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,3,4,3,3,3,2,4,1,3,2,2,3,3,2,1,1,3,2,1,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,4,4,1
6,100,687,1,1,2,1,4,1,5,1,3,2,4,3,1,3,5,1,4,4,3,2,2,3,3,3,2,5,2,5,2,3,4,2,4,2,3,2,3,4,2,4,3,4,5,4,2,3,4,4,4,3,2,3,4,3,4,3,2,4,4,3,4,3,3,2,3,1,2,4,2,5,4,1,4,4,1,1,4,4,3,1,2,1,3,3,1,1,1,3,1,2,3,2,2,2,1,1,3,2,2,2,2,4,4,1
7,100,365,1,1,2,1,3,1,10,2,3,1,4,3,3,1,5,2,2,5,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,3,3,3,2,2,2,2,1,2,3,2,2,2,3,3,1,2,3,3,1,1,1,1,1,1,1,4,3,2,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,4,1,1,1,3,1,1,2,3,2,3,3,2,4,3,2,1,1,2,2,2,2,2,2,4,1
8,100,772,1,2,1,3,2,1,13,3,4,3,5,3,5,3,5,4,2,4,2,1,2,1,1,3,3,5,4,4,1,4,3,1,5,3,4,2,3,1,3,3,3,4,4,3,3,4,5,4,3,3,4,3,4,4,2,4,2,3,4,1,1,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2,2,3,2,3,3,3,3,3,3,1,2,2,2,4,4,4,4,4,1
9,100,760,1,1,2,2,4,1,44,2,1,1,1,3,1,2,2,1,4,2,4,2,2,2,2,3,2,4,4,4,4,4,5,3,4,3,3,4,4,4,2,4,4,4,3,3,3,4,4,5,2,4,5,5,5,4,3,4,3,4,3,3,3,4,2,4,4,2,4,4,3,4,4,2,3,2,2,3,3,4,4,3,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,4,3,3,4,4,4,4,1
10,100,562,1,2,1,4,1,4,44,1,1,1,2,1,1,1,3,1,4,2,3,2,3,3,2,2,3,4,3,3,3,5,5,4,4,5,5,5,5,3,3,3,2,2,4,3,3,3,4,4,5,4,5,4,4,3,2,3,3,2,2,2,2,3,3,3,4,2,4,5,1,1,1,5,1,5,1,1,1,1,1,3,2,1,3,1,2,1,3,2,3,3,3,4,3,4,3,3,2,3,4,3,4,3,3,1
